Option,Max Transport (Sv)
1 - no adj,4.423372274557108
1 - east adj,0.8323722745571057
1 - barotropic adj,1.0959822745571057
2 - no adj,3.7504356054888466
2 - east adj,0.7336423137200637
0 - no adj,0.9083106054888468
0 - east adj,0.5464557674007551
0 - barotropic adj,0.40720039056202995
